Year,Country / territory of asylum/residence,Origin,Population type,Value
2004,South Africa,Sierra Leone,Asylum-seekers,117
2004,South Africa,Slovenia,Refugees (incl. refugee-like situations),2
2004,South Africa,Somalia,Refugees (incl. refugee-like situations),7118
2004,South Africa,Somalia,Asylum-seekers,8360
2004,South Africa,Somalia,Returned refugees,8
2004,South Africa,Sri Lanka,Refugees (incl. refugee-like situations),3
2004,South Africa,Sri Lanka,Asylum-seekers,22
2004,South Africa,Sudan,Refugees (incl. refugee-like situations),175
2004,South Africa,Sudan,Asylum-seekers,113
2004,South Africa,Uganda,Refugees (incl. refugee-like situations),36
2004,South Africa,Uganda,Asylum-seekers,2136
2004,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),8
2004,South Africa,United Rep. of Tanzania,Asylum-seekers,4082
2004,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),30
2004,South Africa,Various/Unknown,Asylum-seekers,4327
2004,South Africa,Zambia,Refugees (incl. refugee-like situations),8
2004,South Africa,Zambia,Asylum-seekers,281
2004,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),32
2004,South Africa,Zimbabwe,Asylum-seekers,8466
2005,South Africa,Afghanistan,Refugees (incl. refugee-like situations),18
2005,South Africa,Afghanistan,Asylum-seekers,19
2005,South Africa,Algeria,Asylum-seekers,80
2005,South Africa,Angola,Refugees (incl. refugee-like situations),5764
2005,South Africa,Angola,Asylum-seekers,6315
2005,South Africa,Angola,Returned refugees,24
2005,South Africa,Bangladesh,Asylum-seekers,6274
2005,South Africa,Benin,Asylum-seekers,93
2005,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2005,South Africa,Bulgaria,Asylum-seekers,188
2005,South Africa,Burundi,Refugees (incl. refugee-like situations),2183
2005,South Africa,Burundi,Asylum-seekers,3754
2005,South Africa,Burundi,Returned refugees,58
2005,South Africa,Cameroon,Refugees (incl. refugee-like situations),54
2005,South Africa,Cameroon,Asylum-seekers,1394
2005,South Africa,Chad,Asylum-seekers,10
2005,South Africa,China,Asylum-seekers,3894
2005,South Africa,Comoros,Asylum-seekers,504
2005,South Africa,Congo,Refugees (incl. refugee-like situations),1160
2005,South Africa,Congo,Asylum-seekers,2865
2005,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),6
2005,South Africa,Cote d'Ivoire,Asylum-seekers,261
2005,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),10609
2005,South Africa,Dem. Rep. of the Congo,Asylum-seekers,19098
2005,South Africa,Dem. Rep. of the Congo,Returned refugees,7
2005,South Africa,Egypt,Asylum-seekers,1027
2005,South Africa,Eritrea,Refugees (incl. refugee-like situations),19
2005,South Africa,Eritrea,Asylum-seekers,843
2005,South Africa,Ethiopia,Refugees (incl. refugee-like situations),78
2005,South Africa,Ethiopia,Asylum-seekers,8356
2005,South Africa,Ghana,Refugees (incl. refugee-like situations),8
2005,South Africa,Ghana,Asylum-seekers,1366
2005,South Africa,India,Asylum-seekers,6257
2005,South Africa,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4
2005,South Africa,Iran (Islamic Rep. of),Asylum-seekers,32
2005,South Africa,Iraq,Refugees (incl. refugee-like situations),11
2005,South Africa,Iraq,Asylum-seekers,47
2005,South Africa,Kenya,Refugees (incl. refugee-like situations),14
2005,South Africa,Kenya,Asylum-seekers,10357
2005,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2005,South Africa,Liberia,Refugees (incl. refugee-like situations),216
2005,South Africa,Liberia,Asylum-seekers,291
2005,South Africa,Malawi,Refugees (incl. refugee-like situations),7
2005,South Africa,Malawi,Asylum-seekers,3833
2005,South Africa,Mali,Asylum-seekers,32
2005,South Africa,Mozambique,Asylum-seekers,355
2005,South Africa,Nigeria,Refugees (incl. refugee-like situations),27
2005,South Africa,Nigeria,Asylum-seekers,9712
2005,South Africa,Pakistan,Refugees (incl. refugee-like situations),29
2005,South Africa,Pakistan,Asylum-seekers,9876
2005,South Africa,Rwanda,Refugees (incl. refugee-like situations),1276
2005,South Africa,Rwanda,Asylum-seekers,725
2005,South Africa,Rwanda,Returned refugees,5
2005,South Africa,Senegal,Refugees (incl. refugee-like situations),4
2005,South Africa,Senegal,Asylum-seekers,876
2005,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2005,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,64
2005,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),52
2005,South Africa,Sierra Leone,Asylum-seekers,127
2005,South Africa,Sierra Leone,Returned refugees,1
2005,South Africa,Somalia,Refugees (incl. refugee-like situations),7548
2005,South Africa,Somalia,Asylum-seekers,11548
2005,South Africa,Somalia,Returned refugees,1
2005,South Africa,Sri Lanka,Asylum-seekers,29
2005,South Africa,Sudan,Refugees (incl. refugee-like situations),173
2005,South Africa,Sudan,Asylum-seekers,121
2005,South Africa,Uganda,Refugees (incl. refugee-like situations),55
2005,South Africa,Uganda,Asylum-seekers,3106
2005,South Africa,Uganda,Returned refugees,4
2005,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),135
2005,South Africa,United Rep. of Tanzania,Asylum-seekers,4981
2005,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),61
2005,South Africa,Various/Unknown,Asylum-seekers,5019
2005,South Africa,Zambia,Refugees (incl. refugee-like situations),10
2005,South Africa,Zambia,Asylum-seekers,388
2005,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),114
2005,South Africa,Zimbabwe,Asylum-seekers,15978
2006,South Africa,Afghanistan,Refugees (incl. refugee-like situations),18
2006,South Africa,Angola,Refugees (incl. refugee-like situations),5759
2006,South Africa,Angola,Returned refugees,17
2006,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2006,South Africa,Burundi,Refugees (incl. refugee-like situations),2196
2006,South Africa,Burundi,Returned refugees,25
2006,South Africa,Cameroon,Refugees (incl. refugee-like situations),81
2006,South Africa,Congo,Refugees (incl. refugee-like situations),1204
2006,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),7
2006,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),10772
2006,South Africa,Dem. Rep. of the Congo,Returned refugees,36
2006,South Africa,Eritrea,Refugees (incl. refugee-like situations),24
2006,South Africa,Ethiopia,Refugees (incl. refugee-like situations),125
2006,South Africa,Ghana,Refugees (incl. refugee-like situations),8
2006,South Africa,Kenya,Refugees (incl. refugee-like situations),22
2006,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2006,South Africa,Liberia,Refugees (incl. refugee-like situations),217
2006,South Africa,Malawi,Refugees (incl. refugee-like situations),7
2006,South Africa,Nigeria,Refugees (incl. refugee-like situations),27
2006,South Africa,Pakistan,Refugees (incl. refugee-like situations),29
2006,South Africa,Rwanda,Refugees (incl. refugee-like situations),1278
2006,South Africa,Rwanda,Returned refugees,1
2006,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2006,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),52
2006,South Africa,Somalia,Refugees (incl. refugee-like situations),7818
2006,South Africa,Sudan,Refugees (incl. refugee-like situations),172
2006,South Africa,Uganda,Refugees (incl. refugee-like situations),70
2006,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),136
2006,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),4764
2006,South Africa,Various/Unknown,Asylum-seekers,131107
2006,South Africa,Zambia,Refugees (incl. refugee-like situations),10
2006,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),211
2007,South Africa,Afghanistan,Refugees (incl. refugee-like situations),18
2007,South Africa,Algeria,Asylum-seekers,168
2007,South Africa,Angola,Refugees (incl. refugee-like situations),5752
2007,South Africa,Angola,Asylum-seekers,65
2007,South Africa,Angola,Returned refugees,10
2007,South Africa,Bangladesh,Refugees (incl. refugee-like situations),7
2007,South Africa,Bangladesh,Asylum-seekers,4818
2007,South Africa,Benin,Asylum-seekers,35
2007,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2007,South Africa,Bulgaria,Asylum-seekers,2
2007,South Africa,Burkina Faso,Asylum-seekers,11
2007,South Africa,Burundi,Refugees (incl. refugee-like situations),2217
2007,South Africa,Burundi,Asylum-seekers,1719
2007,South Africa,Burundi,Returned refugees,29
2007,South Africa,Cameroon,Refugees (incl. refugee-like situations),103
2007,South Africa,Cameroon,Asylum-seekers,439
2007,South Africa,Chad,Asylum-seekers,14
2007,South Africa,China,Asylum-seekers,1139
2007,South Africa,Comoros,Asylum-seekers,31
2007,South Africa,Congo,Refugees (incl. refugee-like situations),1297
2007,South Africa,Congo,Asylum-seekers,1791
2007,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),7
2007,South Africa,Cote d'Ivoire,Asylum-seekers,192
2007,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),11127
2007,South Africa,Dem. Rep. of the Congo,Asylum-seekers,11123
2007,South Africa,Dem. Rep. of the Congo,Returned refugees,14
2007,South Africa,Egypt,Refugees (incl. refugee-like situations),1
2007,South Africa,Egypt,Asylum-seekers,206
2007,South Africa,Eritrea,Refugees (incl. refugee-like situations),45
2007,South Africa,Eritrea,Asylum-seekers,714
2007,South Africa,Ethiopia,Refugees (incl. refugee-like situations),216
2007,South Africa,Ethiopia,Asylum-seekers,7050
2007,South Africa,Ethiopia,Returned refugees,1
2007,South Africa,Gambia,Asylum-seekers,14
2007,South Africa,Ghana,Refugees (incl. refugee-like situations),8
2007,South Africa,Ghana,Asylum-seekers,444
2007,South Africa,Guinea,Asylum-seekers,32
2007,South Africa,Haiti,Asylum-seekers,9
2007,South Africa,India,Asylum-seekers,1749
2007,South Africa,Iran (Islamic Rep. of),Asylum-seekers,1
2007,South Africa,Iraq,Refugees (incl. refugee-like situations),1
2007,South Africa,Iraq,Asylum-seekers,4
2007,South Africa,Kenya,Refugees (incl. refugee-like situations),32
2007,South Africa,Kenya,Asylum-seekers,792
2007,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2007,South Africa,Lesotho,Asylum-seekers,12
2007,South Africa,Liberia,Refugees (incl. refugee-like situations),217
2007,South Africa,Liberia,Asylum-seekers,103
2007,South Africa,Malawi,Refugees (incl. refugee-like situations),11
2007,South Africa,Malawi,Asylum-seekers,8171
2007,South Africa,Mali,Asylum-seekers,109
2007,South Africa,Mozambique,Asylum-seekers,673
2007,South Africa,Myanmar,Refugees (incl. refugee-like situations),1
2007,South Africa,Myanmar,Asylum-seekers,16
2007,South Africa,Niger,Asylum-seekers,22
2007,South Africa,Nigeria,Refugees (incl. refugee-like situations),33
2007,South Africa,Nigeria,Asylum-seekers,1410
2007,South Africa,Pakistan,Refugees (incl. refugee-like situations),29
2007,South Africa,Pakistan,Asylum-seekers,2047
2007,South Africa,Palestinian,Asylum-seekers,12
2007,South Africa,Poland,Refugees (incl. refugee-like situations),5
2007,South Africa,Russian Federation,Asylum-seekers,1
2007,South Africa,Rwanda,Refugees (incl. refugee-like situations),1282
2007,South Africa,Rwanda,Asylum-seekers,571
2007,South Africa,Rwanda,Returned refugees,4
2007,South Africa,Senegal,Refugees (incl. refugee-like situations),1
2007,South Africa,Senegal,Asylum-seekers,233
2007,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2007,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),52
2007,South Africa,Sierra Leone,Asylum-seekers,51
2007,South Africa,Somalia,Refugees (incl. refugee-like situations),8554
2007,South Africa,Somalia,Asylum-seekers,4011
2007,South Africa,Somalia,Returned refugees,10
2007,South Africa,Sri Lanka,Asylum-seekers,33
2007,South Africa,Sudan,Refugees (incl. refugee-like situations),172
2007,South Africa,Sudan,Asylum-seekers,44
2007,South Africa,Sudan,Returned refugees,1
2007,South Africa,Swaziland,Asylum-seekers,58
2007,South Africa,Thailand,Asylum-seekers,17
2007,South Africa,Togo,Asylum-seekers,34
2007,South Africa,Tunisia,Asylum-seekers,3
2007,South Africa,Uganda,Refugees (incl. refugee-like situations),81
2007,South Africa,Uganda,Asylum-seekers,2239
2007,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),136
2007,South Africa,United Rep. of Tanzania,Asylum-seekers,2725
2007,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),4764
2007,South Africa,Various/Unknown,Asylum-seekers,81911
2007,South Africa,Zambia,Refugees (incl. refugee-like situations),11
2007,South Africa,Zambia,Asylum-seekers,446
2007,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),477
2007,South Africa,Zimbabwe,Asylum-seekers,33351
2008,South Africa,Afghanistan,Refugees (incl. refugee-like situations),18
2008,South Africa,Algeria,Asylum-seekers,168
2008,South Africa,Angola,Refugees (incl. refugee-like situations),5751
2008,South Africa,Angola,Asylum-seekers,65
2008,South Africa,Angola,Returned refugees,1
2008,South Africa,Bangladesh,Refugees (incl. refugee-like situations),7
2008,South Africa,Bangladesh,Asylum-seekers,4818
2008,South Africa,Benin,Asylum-seekers,35
2008,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2008,South Africa,Bulgaria,Asylum-seekers,2
2008,South Africa,Burkina Faso,Asylum-seekers,11
2008,South Africa,Burundi,Refugees (incl. refugee-like situations),2155
2008,South Africa,Burundi,Asylum-seekers,1719
2008,South Africa,Burundi,Returned refugees,101
2008,South Africa,Cameroon,Refugees (incl. refugee-like situations),103
2008,South Africa,Cameroon,Asylum-seekers,439
2008,South Africa,Chad,Asylum-seekers,14
2008,South Africa,China,Asylum-seekers,1139
2008,South Africa,Comoros,Asylum-seekers,31
2008,South Africa,Congo,Refugees (incl. refugee-like situations),1297
2008,South Africa,Congo,Asylum-seekers,1791
2008,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),7
2008,South Africa,Cote d'Ivoire,Asylum-seekers,192
2008,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),10999
2008,South Africa,Dem. Rep. of the Congo,Asylum-seekers,11123
2008,South Africa,Dem. Rep. of the Congo,Returned refugees,159
2008,South Africa,Egypt,Refugees (incl. refugee-like situations),1
2008,South Africa,Egypt,Asylum-seekers,206
2008,South Africa,Eritrea,Refugees (incl. refugee-like situations),44
2008,South Africa,Eritrea,Asylum-seekers,714
2008,South Africa,Ethiopia,Refugees (incl. refugee-like situations),210
2008,South Africa,Ethiopia,Asylum-seekers,7050
2008,South Africa,Ethiopia,Returned refugees,2
2008,South Africa,Gambia,Asylum-seekers,14
2008,South Africa,Ghana,Refugees (incl. refugee-like situations),8
2008,South Africa,Ghana,Asylum-seekers,444
2008,South Africa,Guinea,Asylum-seekers,32
2008,South Africa,Haiti,Asylum-seekers,9
2008,South Africa,India,Asylum-seekers,1749
2008,South Africa,Iran (Islamic Rep. of),Asylum-seekers,1
2008,South Africa,Iraq,Refugees (incl. refugee-like situations),1
2008,South Africa,Iraq,Asylum-seekers,4
2008,South Africa,Kenya,Refugees (incl. refugee-like situations),32
2008,South Africa,Kenya,Asylum-seekers,792
2008,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2008,South Africa,Lesotho,Asylum-seekers,12
2008,South Africa,Liberia,Refugees (incl. refugee-like situations),213
2008,South Africa,Liberia,Asylum-seekers,103
2008,South Africa,Liberia,Returned refugees,4
2008,South Africa,Malawi,Refugees (incl. refugee-like situations),11
2008,South Africa,Malawi,Asylum-seekers,8171
2008,South Africa,Mali,Asylum-seekers,109
2008,South Africa,Mozambique,Asylum-seekers,673
2008,South Africa,Myanmar,Refugees (incl. refugee-like situations),1
2008,South Africa,Myanmar,Asylum-seekers,16
2008,South Africa,Niger,Asylum-seekers,22
2008,South Africa,Nigeria,Refugees (incl. refugee-like situations),33
2008,South Africa,Nigeria,Asylum-seekers,1410
2008,South Africa,Pakistan,Refugees (incl. refugee-like situations),29
2008,South Africa,Pakistan,Asylum-seekers,2047
2008,South Africa,Palestinian,Asylum-seekers,12
2008,South Africa,Poland,Refugees (incl. refugee-like situations),5
2008,South Africa,Russian Federation,Asylum-seekers,1
2008,South Africa,Rwanda,Refugees (incl. refugee-like situations),1266
2008,South Africa,Rwanda,Asylum-seekers,571
2008,South Africa,Rwanda,Returned refugees,11
2008,South Africa,Senegal,Refugees (incl. refugee-like situations),1
2008,South Africa,Senegal,Asylum-seekers,233
2008,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2008,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),52
2008,South Africa,Sierra Leone,Asylum-seekers,51
2008,South Africa,Somalia,Refugees (incl. refugee-like situations),8543
2008,South Africa,Somalia,Asylum-seekers,4011
2008,South Africa,Somalia,Returned refugees,3
2008,South Africa,Sri Lanka,Asylum-seekers,33
2008,South Africa,Sudan,Refugees (incl. refugee-like situations),168
2008,South Africa,Sudan,Asylum-seekers,44
2008,South Africa,Sudan,Returned refugees,4
2008,South Africa,Swaziland,Asylum-seekers,58
2008,South Africa,Thailand,Asylum-seekers,17
2008,South Africa,Togo,Asylum-seekers,34
2008,South Africa,Tunisia,Asylum-seekers,3
2008,South Africa,Uganda,Refugees (incl. refugee-like situations),79
2008,South Africa,Uganda,Asylum-seekers,2239
2008,South Africa,Uganda,Returned refugees,2
2008,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),136
2008,South Africa,United Rep. of Tanzania,Asylum-seekers,2725
2008,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),11813
2008,South Africa,Various/Unknown,Asylum-seekers,138171
2008,South Africa,Zambia,Refugees (incl. refugee-like situations),11
2008,South Africa,Zambia,Asylum-seekers,446
2008,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),473
2008,South Africa,Zimbabwe,Asylum-seekers,33351
2009,South Africa,Afghanistan,Refugees (incl. refugee-like situations),18
2009,South Africa,Angola,Refugees (incl. refugee-like situations),5758
2009,South Africa,Angola,Returned refugees,1
2009,South Africa,Bangladesh,Refugees (incl. refugee-like situations),38
2009,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2009,South Africa,Burundi,Refugees (incl. refugee-like situations),2273
2009,South Africa,Burundi,Returned refugees,21
2009,South Africa,Cameroon,Refugees (incl. refugee-like situations),112
2009,South Africa,Congo,Refugees (incl. refugee-like situations),1906
2009,South Africa,Congo,Returned refugees,5
2009,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),7
2009,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),11708
2009,South Africa,Dem. Rep. of the Congo,Returned refugees,14
2009,South Africa,Egypt,Returned refugees,1
2009,South Africa,Eritrea,Refugees (incl. refugee-like situations),246
2009,South Africa,Ethiopia,Refugees (incl. refugee-like situations),1509
2009,South Africa,Ghana,Refugees (incl. refugee-like situations),8
2009,South Africa,Iraq,Refugees (incl. refugee-like situations),5
2009,South Africa,Kenya,Refugees (incl. refugee-like situations),36
2009,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2009,South Africa,Liberia,Refugees (incl. refugee-like situations),214
2009,South Africa,Malawi,Refugees (incl. refugee-like situations),11
2009,South Africa,Myanmar,Refugees (incl. refugee-like situations),1
2009,South Africa,Nigeria,Refugees (incl. refugee-like situations),33
2009,South Africa,Pakistan,Refugees (incl. refugee-like situations),31
2009,South Africa,Poland,Refugees (incl. refugee-like situations),5
2009,South Africa,Rwanda,Refugees (incl. refugee-like situations),1282
2009,South Africa,Senegal,Refugees (incl. refugee-like situations),1
2009,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2009,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),52
2009,South Africa,Somalia,Refugees (incl. refugee-like situations),9718
2009,South Africa,Sudan,Refugees (incl. refugee-like situations),174
2009,South Africa,Uganda,Refugees (incl. refugee-like situations),99
2009,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),137
2009,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),11826
2009,South Africa,Various/Unknown,Asylum-seekers,309794
2009,South Africa,Various/Unknown,Returned refugees,1
2009,South Africa,Zambia,Refugees (incl. refugee-like situations),14
2009,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),673
2010,South Africa,Afghanistan,Refugees (incl. refugee-like situations),18
2010,South Africa,Angola,Refugees (incl. refugee-like situations),5808
2010,South Africa,Angola,Returned refugees,1
2010,South Africa,Bahamas,Refugees (incl. refugee-like situations),1
2010,South Africa,Bangladesh,Refugees (incl. refugee-like situations),82
2010,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2010,South Africa,Burundi,Refugees (incl. refugee-like situations),2412
2010,South Africa,Burundi,Returned refugees,9
2010,South Africa,Cameroon,Refugees (incl. refugee-like situations),134
2010,South Africa,Congo,Refugees (incl. refugee-like situations),2172
2010,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),10
2010,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),12973
2010,South Africa,Dem. Rep. of the Congo,Returned refugees,15
2010,South Africa,Eritrea,Refugees (incl. refugee-like situations),415
2010,South Africa,Ethiopia,Refugees (incl. refugee-like situations),3398
2010,South Africa,Ghana,Refugees (incl. refugee-like situations),9
2010,South Africa,India,Refugees (incl. refugee-like situations),3
2010,South Africa,Iraq,Refugees (incl. refugee-like situations),5
2010,South Africa,Kenya,Refugees (incl. refugee-like situations),52
2010,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2010,South Africa,Lesotho,Refugees (incl. refugee-like situations),2
2010,South Africa,Liberia,Refugees (incl. refugee-like situations),214
2010,South Africa,Malawi,Refugees (incl. refugee-like situations),11
2010,South Africa,Morocco,Refugees (incl. refugee-like situations),2
2010,South Africa,Myanmar,Refugees (incl. refugee-like situations),1
2010,South Africa,Nigeria,Refugees (incl. refugee-like situations),34
2010,South Africa,Pakistan,Refugees (incl. refugee-like situations),37
2010,South Africa,Palestinian,Refugees (incl. refugee-like situations),3
2010,South Africa,Poland,Refugees (incl. refugee-like situations),5
2010,South Africa,Rwanda,Refugees (incl. refugee-like situations),1374
2010,South Africa,Rwanda,Returned refugees,5
2010,South Africa,Senegal,Refugees (incl. refugee-like situations),1
2010,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2010,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),53
2010,South Africa,Solomon Islands,Refugees (incl. refugee-like situations),4
2010,South Africa,Somalia,Refugees (incl. refugee-like situations),15186
2010,South Africa,Sudan,Refugees (incl. refugee-like situations),179
2010,South Africa,Sudan,Returned refugees,1
2010,South Africa,Uganda,Refugees (incl. refugee-like situations),134
2010,South Africa,United Rep. of Tanzania,Refugees (incl. refugee-like situations),139
2010,South Africa,Various/Unknown,Refugees (incl. refugee-like situations),11827
2010,South Africa,Various/Unknown,Asylum-seekers,171702
2010,South Africa,Yemen,Refugees (incl. refugee-like situations),3
2010,South Africa,Zambia,Refugees (incl. refugee-like situations),19
2010,South Africa,Zimbabwe,Refugees (incl. refugee-like situations),1100
2010,South Africa,Zimbabwe,Returned refugees,103
2011,South Africa,Afghanistan,Refugees (incl. refugee-like situations),18
2011,South Africa,Afghanistan,Asylum-seekers,2
2011,South Africa,Algeria,Asylum-seekers,16
2011,South Africa,Angola,Refugees (incl. refugee-like situations),5808
2011,South Africa,Angola,Asylum-seekers,6
2011,South Africa,Bahamas,Refugees (incl. refugee-like situations),1
2011,South Africa,Bangladesh,Refugees (incl. refugee-like situations),82
2011,South Africa,Bangladesh,Asylum-seekers,2699
2011,South Africa,Benin,Asylum-seekers,6
2011,South Africa,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),27
2011,South Africa,Botswana,Asylum-seekers,2
2011,South Africa,Bulgaria,Asylum-seekers,3
2011,South Africa,Burkina Faso,Asylum-seekers,10
2011,South Africa,Burundi,Refugees (incl. refugee-like situations),2412
2011,South Africa,Burundi,Asylum-seekers,714
2011,South Africa,Burundi,Returned refugees,15
2011,South Africa,Cameroon,Refugees (incl. refugee-like situations),134
2011,South Africa,Cameroon,Asylum-seekers,321
2011,South Africa,Central African Rep.,Asylum-seekers,1
2011,South Africa,Chad,Asylum-seekers,1
2011,South Africa,China,Asylum-seekers,649
2011,South Africa,Comoros,Asylum-seekers,13
2011,South Africa,Congo,Refugees (incl. refugee-like situations),2172
2011,South Africa,Congo,Asylum-seekers,778
2011,South Africa,Congo,Returned refugees,5
2011,South Africa,Cote d'Ivoire,Refugees (incl. refugee-like situations),10
2011,South Africa,Cote d'Ivoire,Asylum-seekers,38
2011,South Africa,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),12973
2011,South Africa,Dem. Rep. of the Congo,Asylum-seekers,4467
2011,South Africa,Dem. Rep. of the Congo,Returned refugees,12
2011,South Africa,Egypt,Asylum-seekers,173
2011,South Africa,Eritrea,Refugees (incl. refugee-like situations),415
2011,South Africa,Eritrea,Asylum-seekers,35
2011,South Africa,Estonia,Asylum-seekers,2
2011,South Africa,Ethiopia,Refugees (incl. refugee-like situations),3398
2011,South Africa,Ethiopia,Asylum-seekers,3620
2011,South Africa,Gabon,Asylum-seekers,2
2011,South Africa,Ghana,Refugees (incl. refugee-like situations),9
2011,South Africa,Ghana,Asylum-seekers,667
2011,South Africa,Guinea,Asylum-seekers,7
2011,South Africa,Guinea-Bissau,Asylum-seekers,2
2011,South Africa,India,Refugees (incl. refugee-like situations),3
2011,South Africa,India,Asylum-seekers,515
2011,South Africa,Iraq,Refugees (incl. refugee-like situations),5
2011,South Africa,Ireland,Asylum-seekers,2
2011,South Africa,Jordan,Asylum-seekers,4
2011,South Africa,Kenya,Refugees (incl. refugee-like situations),52
2011,South Africa,Kenya,Asylum-seekers,123
2011,South Africa,Kyrgyzstan,Refugees (incl. refugee-like situations),18
2011,South Africa,Lebanon,Asylum-seekers,1
2011,South Africa,Lesotho,Refugees (incl. refugee-like situations),2
2011,South Africa,Lesotho,Asylum-seekers,158
2011,South Africa,Liberia,Refugees (incl. refugee-like situations),214
2011,South Africa,Liberia,Asylum-seekers,7
2011,South Africa,Malawi,Refugees (incl. refugee-like situations),11
2011,South Africa,Malawi,Asylum-seekers,2754
2011,South Africa,Mali,Asylum-seekers,13
2011,South Africa,Mauritania,Asylum-seekers,1
2011,South Africa,Morocco,Refugees (incl. refugee-like situations),2
2011,South Africa,Morocco,Asylum-seekers,7
2011,South Africa,Mozambique,Asylum-seekers,341
2011,South Africa,Myanmar,Refugees (incl. refugee-like situations),1
2011,South Africa,Namibia,Asylum-seekers,1
2011,South Africa,Nepal,Asylum-seekers,2
2011,South Africa,Niger,Asylum-seekers,15
2011,South Africa,Nigeria,Refugees (incl. refugee-like situations),34
2011,South Africa,Nigeria,Asylum-seekers,1199
2011,South Africa,Pakistan,Refugees (incl. refugee-like situations),37
2011,South Africa,Pakistan,Asylum-seekers,1348
2011,South Africa,Palestinian,Refugees (incl. refugee-like situations),3
2011,South Africa,Philippines,Asylum-seekers,1
2011,South Africa,Poland,Refugees (incl. refugee-like situations),5
2011,South Africa,Rwanda,Refugees (incl. refugee-like situations),1374
2011,South Africa,Rwanda,Asylum-seekers,142
2011,South Africa,Rwanda,Returned refugees,5
2011,South Africa,Senegal,Refugees (incl. refugee-like situations),1
2011,South Africa,Senegal,Asylum-seekers,164
2011,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),34
2011,South Africa,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,1
2011,South Africa,Sierra Leone,Refugees (incl. refugee-like situations),53
2011,South Africa,Sierra Leone,Asylum-seekers,2
